Spine File,ChordDistribution,OpenAngle,CVD,AverageDistance,LengthVolumeRatio,LengthAreaRatio,JunctionArea,Length,Area,Volume,ConvexHullVolume,ConvexHullRatio

output\example dendrite\spine_18.off,"[1.50294547 3.86183979 3.4061729  2.70630885 2.50994411 2.53511908
 1.85036    1.71945018 1.56336539 1.53567293 1.57595287 1.36196566
 1.24616082 1.20839837 1.17818841 1.30154574 1.16308343 1.16560093
 1.19329339 1.06490106 1.03217361 1.15804844 1.04476109 1.09511102
 0.98937616 1.0346911  1.1076985  0.97678868 0.91385127 1.06238357
 0.98937616 1.04727859 1.1076985  1.14546095 1.12028599 1.07245355
 1.1076985  1.21091587 1.17818841 1.24616082 1.29147576 1.14042596
 1.2587483  1.27888827 1.26630079 1.24364332 1.26378329 1.4097981
 1.61623282 1.40224561 1.63637279 1.53063793 1.65147777 1.56084789
 1.64896027 1.58098787 1.46770052 1.38965812 1.40224561 1.38965812
 1.15301344 0.95413121 1.04224359 0.92895625 0.94909622 0.75273148
 0.78797644 0.63189165 0.69734656 0.61930416 0.55133176 0.5186043
 0.51356931 0.4430794  0.40783445 0.33230955 0.3675545  0.30209959
 0.2945471  0.26433714 0.23412718 0.19636473 0.18125976 0.16615478
 0.16111978 0.11580484 0.12839233 0.08559488 0.08811238 0.09314737
 0.08055989 0.05538493 0.03776245 0.04027995 0.03776245 0.02013997
 0.01510498 0.01258748 0.         0.01762248]",0.9198624670910138,0.3864565156671553,0.654687733589084,2.5394944634751884,0.32167194027892676,0.1671845869830487,1.1407166617309203,3.379026688833509,0.4491904503583358,0.532276688466668,0.18496884348732523

output\example dendrite\spine_9.off,"[1.85996409e+00 6.95631358e+00 7.66367445e+00 7.67923399e+00
 6.37103531e+00 6.27528426e+00 5.40634351e+00 4.90245362e+00
 4.19150209e+00 3.78096948e+00 3.62298025e+00 2.94554159e+00
 2.53740275e+00 2.64033513e+00 2.28246559e+00 2.19509276e+00
 2.30999402e+00 2.01915021e+00 1.91143028e+00 1.66008378e+00
 1.54159186e+00 1.56792340e+00 1.35966487e+00 1.17414722e+00
 1.12746858e+00 1.17175344e+00 1.03052065e+00 8.66546978e-01
 7.61220826e-01 8.07899461e-01 7.50448833e-01 7.44464393e-01
 6.67863555e-01 5.78096948e-01 5.14661879e-01 4.78755236e-01
 4.35667265e-01 4.09335727e-01 3.08797127e-01 3.14781568e-01
 2.69299820e-01 2.66906044e-01 2.34590066e-01 2.52543387e-01
 2.42968282e-01 2.16636744e-01 1.90305206e-01 1.90305206e-01
 2.29802513e-01 2.02274087e-01 1.65170557e-01 1.79533214e-01
 1.44823459e-01 1.50807899e-01 1.26870138e-01 1.19688809e-01
 8.37821664e-02 9.21603830e-02 8.13883902e-02 7.66008378e-02
 4.78755236e-02 6.82226212e-02 7.66008378e-02 3.47097546e-02
 3.47097546e-02 4.78755236e-02 4.54817475e-02 2.99222023e-02
 3.35128665e-02 3.23159785e-02 2.99222023e-02 2.51346499e-02
 2.27408737e-02 1.43626571e-02 1.79533214e-02 9.57510473e-03
 1.19688809e-02 1.31657690e-02 1.43626571e-02 8.37821664e-03
 1.19688809e-02 2.39377618e-03 4.78755236e-03 8.37821664e-03
 2.39377618e-03 2.39377618e-03 2.39377618e-03 1.19688809e-03
 0.00000000e+00 1.19688809e-03 2.39377618e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.19688809e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.19688809e-03]",0.6092297569307638,0.47578973188368856,0.4865616066654438,20.792813045833825,0.5336350428192473,0.2770101226971349,0.8083911083771457,1.2378662319484193,0.03887839065330893,0.15811436412498128,3.0668958119932936

output\example dendrite\spine_10.off,"[5.54731959e-01 3.06059012e+00 4.57175649e+00 4.26569748e+00
 3.51011429e+00 2.95060016e+00 2.21653675e+00 2.33369997e+00
 1.59485438e+00 1.50399311e+00 1.50160203e+00 1.13337478e+00
 1.09272632e+00 9.94691789e-01 1.01142939e+00 1.12141935e+00
 9.85127445e-01 9.85127445e-01 1.06881546e+00 1.07837980e+00
 1.15250347e+00 1.08077089e+00 9.73172015e-01 9.85127445e-01
 1.09033523e+00 1.18597867e+00 1.19315193e+00 1.21706279e+00
 1.28640428e+00 1.23140931e+00 1.19076084e+00 1.30314189e+00
 1.22662713e+00 1.21945388e+00 1.28640428e+00 1.13098369e+00
 1.25053799e+00 1.21706279e+00 1.26249342e+00 1.25053799e+00
 1.27923103e+00 1.20749845e+00 1.13337478e+00 1.17402324e+00
 1.25053799e+00 1.14772130e+00 1.15250347e+00 1.11424609e+00
 1.09033523e+00 1.02338482e+00 1.12620152e+00 1.03294917e+00
 1.13815695e+00 1.12381043e+00 1.06403328e+00 1.05925111e+00
 1.04968677e+00 1.01142939e+00 9.58825499e-01 9.94691789e-01
 8.91875090e-01 8.60790971e-01 9.56434413e-01 9.87518531e-01
 9.03830520e-01 9.34914638e-01 8.65573143e-01 8.75137487e-01
 8.22533595e-01 8.36880111e-01 7.96231648e-01 7.67538616e-01
 7.43627756e-01 7.05370379e-01 5.37994357e-01 5.21256755e-01
 4.61479604e-01 3.99311367e-01 3.27578786e-01 2.86930324e-01
 2.63019463e-01 2.74974894e-01 2.08024485e-01 2.43890775e-01
 1.79331452e-01 1.38682990e-01 1.17163216e-01 1.12381043e-01
 8.36880111e-02 1.02816699e-01 1.07598871e-01 8.84701832e-02
 4.54306346e-02 4.06484625e-02 3.34752044e-02 1.91286883e-02
 3.34752044e-02 1.67376022e-02 2.39108603e-03 4.78217206e-03]",0.7140466429476516,0.34706397301689595,1.0047545277756529,1.8387623038225194,0.2552534135380213,0.89685885667561,1.523784994307793,5.072836017084883,0.8287014537659738,1.0037822322326613,0.2112712336524155

output\example dendrite\spine_0.off,"[6.04777744e-01 2.85001512e+00 3.61354702e+00 3.38171555e+00
 3.13476464e+00 2.55518597e+00 1.86473138e+00 1.95796795e+00
 1.71605685e+00 1.36830965e+00 1.45650640e+00 1.26751336e+00
 1.17427679e+00 1.05332124e+00 1.08859994e+00 1.12891846e+00
 1.13395827e+00 9.65124483e-01 1.07348050e+00 9.85283742e-01
 1.00544300e+00 1.05836105e+00 1.07600040e+00 1.14907771e+00
 1.14403790e+00 1.21207540e+00 1.28767261e+00 1.26247354e+00
 1.18435642e+00 1.34563048e+00 1.23223465e+00 1.25995363e+00
 1.27507308e+00 1.36578974e+00 1.21207540e+00 1.36830965e+00
 1.22467493e+00 1.29271243e+00 1.33555085e+00 1.25491382e+00
 1.34059067e+00 1.33051104e+00 1.15663744e+00 1.29019252e+00
 1.22215502e+00 1.33303094e+00 1.32547122e+00 1.17931660e+00
 1.31791150e+00 1.29775224e+00 1.18183651e+00 1.31539159e+00
 1.20199577e+00 1.18939623e+00 1.25239391e+00 1.18687632e+00
 1.12135873e+00 1.09615966e+00 9.87803649e-01 9.12206431e-01
 9.87803649e-01 9.60084669e-01 8.94567080e-01 8.61808285e-01
 8.39129120e-01 7.83691160e-01 8.46688842e-01 7.86211067e-01
 6.95494406e-01 7.38332829e-01 7.40852737e-01 6.87934684e-01
 6.77855055e-01 6.42576353e-01 5.77058764e-01 4.61143030e-01
 5.21620804e-01 4.53583308e-01 4.25864328e-01 4.10744885e-01
 3.02388872e-01 3.52787017e-01 3.02388872e-01 2.74669892e-01
 2.67110170e-01 2.24271747e-01 1.78913416e-01 2.06632396e-01
 2.04112489e-01 1.31035178e-01 1.13395827e-01 9.82763834e-02
 6.04777744e-02 4.28384235e-02 2.01592581e-02 4.03185163e-02
 1.00796291e-02 2.51990727e-03 7.55972180e-03 7.55972180e-03]",0.7566516427122535,0.33350748111985296,0.9918363518212182,1.8359353145560724,0.24416935793532663,0.20823118441120647,1.4532416211822436,5.743546030677204,0.7915538252684226,0.9802932634300539,0.2384416980078748

output\example dendrite\spine_21.off,"[1.33343528e+00 5.91635446e+00 6.71610979e+00 6.04480465e+00
 5.54782476e+00 4.47128985e+00 4.15933940e+00 3.87644315e+00
 3.34123404e+00 3.22042970e+00 2.90236257e+00 2.70968728e+00
 2.63017050e+00 2.61793715e+00 2.12401560e+00 2.08425721e+00
 1.92063613e+00 1.76160257e+00 1.70196498e+00 1.53834391e+00
 1.36401866e+00 1.37013533e+00 1.17593088e+00 1.08112241e+00
 1.01995565e+00 9.54201392e-01 9.06797156e-01 8.45630400e-01
 8.30338711e-01 8.11988684e-01 7.03417692e-01 7.93638657e-01
 7.73759462e-01 7.84463644e-01 8.11988684e-01 8.16576191e-01
 8.97622142e-01 8.99151311e-01 9.12913831e-01 9.37380534e-01
 8.74684609e-01 9.08326325e-01 9.40438871e-01 8.33397049e-01
 8.02813671e-01 7.26355226e-01 6.63659301e-01 6.40721768e-01
 5.99434208e-01 5.59675816e-01 4.83217371e-01 5.07684074e-01
 4.78629865e-01 4.41929811e-01 4.15933940e-01 3.85350562e-01
 3.65471366e-01 3.82292224e-01 3.37946326e-01 3.34887988e-01
 3.18067131e-01 2.55371206e-01 2.53842037e-01 2.23258659e-01
 2.20200321e-01 1.89616943e-01 1.83500268e-01 1.40683538e-01
 1.72796085e-01 1.34566863e-01 1.20804343e-01 1.05512654e-01
 1.13158498e-01 7.34001070e-02 1.02454316e-01 5.50500803e-02
 6.57542626e-02 3.82292224e-02 3.67000535e-02 3.05833779e-02
 3.82292224e-02 2.29375335e-02 1.83500268e-02 1.83500268e-02
 1.52916890e-02 1.22333512e-02 1.22333512e-02 1.07041823e-02
 4.58750669e-03 6.11667559e-03 1.52916890e-03 1.52916890e-03
 3.05833779e-03 3.05833779e-03 0.00000000e+00 1.52916890e-03
 1.52916890e-03 0.00000000e+00 1.52916890e-03 1.52916890e-03]",0.5093639117789841,0.4113739478381766,1.0399519533474715,3.632493081386379,0.30457778893901494,0.19723411578690062,1.6955409553337482,5.369622749384063,0.4667705945599839,1.19998724679501,1.5708287128203011
