1

pca,example dataset\1003-1\spine_1.off,example dataset\1003-1\spine_2.off,example dataset\1003-1\spine_3.off,example dataset\1003-22\spine_1.off,example dataset\1005-1\spine_4.off,example dataset\1005-1\spine_5.off,example dataset\1005-1\spine_6.off,example dataset\1005-1\spine_9.off,example dataset\1005-3\spine_0.off,example dataset\1005-3\spine_4.off,example dataset\1005-3\spine_7.off,example dataset\1005-3\spine_9.off,example dataset\1006-1\spine_0.off,example dataset\1007-2\spine_1.off,example dataset\1007-2\spine_2.off,example dataset\1009-11\spine_0.off,example dataset\1009-11\spine_1.off,example dataset\1009-2\spine_2.off,example dataset\1009-2\spine_3.off,example dataset\1010-1\spine_0.off,example dataset\1010-1\spine_1.off,example dataset\1010-2\spine_0.off,example dataset\1011-1\spine_0.off,example dataset\1011-1\spine_2.off,example dataset\1012-1\spine_0.off,example dataset\1013-1\spine_0.off,example dataset\1013-1\spine_1.off,example dataset\1013-1\spine_3.off,example dataset\12\spine_2.off,example dataset\12\spine_4.off,example dataset\19\spine_0.off,example dataset\1\spine_1.off,example dataset\1\spine_10.off,example dataset\1\spine_11.off,example dataset\1\spine_13.off,example dataset\1\spine_15.off,example dataset\1\spine_16.off,example dataset\1\spine_17.off,example dataset\1\spine_19.off,example dataset\1\spine_9.off,example dataset\22\spine_1.off,example dataset\22\spine_4.off,example dataset\22\spine_5.off,example dataset\22\spine_8.off,example dataset\23\spine_1.off,example dataset\23\spine_3.off,example dataset\23\spine_5.off,example dataset\23\spine_6.off,example dataset\25-1\spine_0.off,example dataset\25-1\spine_1.off,example dataset\25-1\spine_3.off,example dataset\25-1\spine_5.off,example dataset\25-1\spine_8.off,example dataset\25-1\spine_9.off,example dataset\26-1\spine_0.off,example dataset\26-1\spine_6.off,example dataset\27\spine_0.off,example dataset\27\spine_5.off,example dataset\27\spine_7.off,example dataset\28-1\spine_5.off,example dataset\2\spine_0.off,example dataset\2\spine_2.off,example dataset\2\spine_4.off,example dataset\31-1\spine_0.off,example dataset\31-1\spine_2.off,example dataset\31-1\spine_3.off,example dataset\32\spine_1.off,example dataset\33\spine_0.off,example dataset\33\spine_3.off,example dataset\33\spine_7.off,example dataset\34-1\spine_1.off,example dataset\34-1\spine_3.off,example dataset\34-2\spine_1.off,example dataset\34-2\spine_3.off,example dataset\34-2\spine_5.off,example dataset\37\spine_0.off,example dataset\37\spine_11.off,example dataset\37\spine_12.off,example dataset\37\spine_3.off,example dataset\37\spine_4.off,example dataset\37\spine_5.off,example dataset\38\spine_0.off,example dataset\38\spine_1.off,example dataset\38\spine_4.off,example dataset\38\spine_6.off,example dataset\39\spine_2.off,example dataset\39\spine_3.off,example dataset\39\spine_6.off,example dataset\39\spine_7.off,example dataset\3\spine_0.off,example dataset\3\spine_1.off,example dataset\3\spine_2.off,example dataset\3_full_res (1)\spine_0.off,example dataset\3_full_res (1)\spine_1.off,example dataset\3_full_res (1)\spine_10.off,example dataset\3_full_res (1)\spine_2.off,example dataset\3_full_res (1)\spine_4.off,example dataset\3_full_res (1)\spine_5.off,example dataset\3_full_res (1)\spine_7.off,example dataset\3_full_res (10-2)\spine_1.off,example dataset\3_full_res (10-2)\spine_3.off,example dataset\3_full_res (12)\spine_1.off,example dataset\3_full_res (12)\spine_2.off,example dataset\3_full_res (12)\spine_3.off,example dataset\3_full_res (13)\spine_3.off,example dataset\3_full_res (13)\spine_4.off,example dataset\3_full_res (13)\spine_5.off,example dataset\3_full_res (13)\spine_6.off,example dataset\3_full_res (14)\spine_2.off,example dataset\3_full_res (19)-1\spine_0.off,example dataset\3_full_res (19)-1\spine_1.off,example dataset\3_full_res (19)-1\spine_2.off,example dataset\3_full_res (19)-2\spine_0.off,example dataset\3_full_res (2)\spine_0.off,example dataset\3_full_res (2)\spine_2.off,example dataset\3_full_res (2)\spine_3.off,example dataset\3_full_res (4)\spine_9.off,example dataset\3_full_res (5)\spine_1.off,example dataset\3_full_res (5)\spine_5.off,example dataset\3_full_res (5)\spine_6.off,example dataset\3_full_res (6)\spine_0.off,example dataset\3_full_res (6)\spine_3.off,example dataset\3_full_res (8)\spine_0.off,example dataset\3_full_res (8)\spine_1.off,example dataset\3_full_res (8)\spine_2.off,example dataset\4\spine_0.off,example dataset\4\spine_1.off,example dataset\5-1\spine_6.off,example dataset\5-1\spine_7.off,example dataset\5-1\spine_8.off,example dataset\5-1\spine_9.off,example dataset\5-2\spine_0.off,example dataset\5-2\spine_2.off,example dataset\5-2\spine_6.off,example dataset\5-2\spine_7.off,example dataset\5-2\spine_9.off,example dataset\6\spine_5.off

PC1,3.4799609794262865,2.3237399816290885,4.082254309431156,9.084372992277606,1.8877469903199926,0.4795771574613822,3.5054207814000518,-1.5331031074995125,2.1987883240283312,5.555531502644984,4.22359070422485,0.1563308181550492,2.0901279297331046,2.0327584689312648,5.146749892989447,-1.6797150405079466,2.889084940735907,9.11359811633978,2.5794232202571505,17.95833283425868,0.8073819956867121,1.010043346943715,9.06113744106807,1.5019503872554074,0.8197681437716337,2.43562452912716,0.5373083434652823,2.8236567579891307,1.9625398962664966,1.3196656950006438,6.781395094331334,-0.4949099470895239,-1.5612690389181767,-4.225164491773925,-2.946955281057869,-2.5871484591037546,-4.787039573731324,-1.5927115789259505,-2.359980499643416,-4.312472335312773,-3.689254560871986,-3.754106899543393,-0.7776659164776221,-0.10536200929684324,4.8981868517019045,-1.9367247327383519,-3.493029272633457,-1.4419879028126552,-1.0957711818036702,5.57638232512899,-2.5438465441742943,-2.0777812325311142,-0.17924988317335294,-1.3744151577933803,2.0667540851340247,1.4458664690783496,3.5312072444611116,-0.5396993892545655,-1.2469732981761859,-0.7021041639389799,-1.8969205633907993,0.5056891875795769,-2.9255378048059213,-2.5345401392026092,2.8665707198755874,5.350994845918272,-0.5152863199454413,3.2866273678803717,0.618771952985728,2.2031934079623685,6.315645494996844,6.489359656235104,5.639807597084999,-0.004718571966765785,1.266606255146158,-3.5168322445624294,-3.738563576123967,-3.746685097627338,-0.37877584759973953,-1.3058860016734828,-3.571478106803739,-4.272976986745418,-2.42661343092709,-3.906209952291282,-4.260227475931363,-3.284620867384169,-1.92331392484581,-0.6690811983694307,-0.8163955515316481,-0.519319250345155,-0.9785846812798982,-2.3459676083626264,5.337567024522771,5.236706193478107,1.32133814579557,2.1789161391262737,1.2281017240071936,1.8085041000361979,1.6364369463216797,-0.7886508206236794,-2.631035470134746,1.9512285456418403,1.6058900358274435,5.191372967312943,1.8901201299540693,0.5323490018075354,2.42866775975782,3.699165888726296,-1.673557636346524,-3.116553236661285,-0.8783197856228636,-3.9922908819158196,-0.5571269352829252,1.2144762996239138,0.2571692903205502,5.106397736089857,9.152994289826504,1.6845259685509815,0.6653673645646208,1.0428026615271573,2.727374855183187,1.1532491697965026,-0.39994289741975436,1.7377790561448967,-0.008309923447529684,-0.3887009934833139,-2.9462354153378065,-3.2139431073192197,-2.5814327600995757,-1.7216547128536595,-0.38196902449269515,-2.435129072146864,-1.4058968566546681,-0.014991207435700954,-0.3122894937707587,-0.12591545850381292,-2.884661664511762

PC2,1.841726638079096,0.6800148036883926,2.0307362750883953,1.8581975031516738,1.0871867393320702,1.933841036768944,0.9812378604581786,-0.9513321478429003,0.40678576758416485,3.3096175318132772,0.3705729434892488,0.3432102987928678,2.208179248663328,2.108413197788579,5.409293496455312,-0.3940915580441275,0.04610203793376726,0.9001724160700814,0.6168872849024598,7.651913342426242,0.6240428389925192,3.6948777649127122,5.66122187780284,1.8618334182100782,1.6064644056953021,1.8743748033833207,1.105022821415179,0.6345989905295288,1.6843769466465275,0.21149501713426838,1.634772130281835,-4.5151696257567755,-0.4323255053987988,-0.3476269312381659,-2.4402599048344427,-1.177656071463866,-0.1392048959995003,-1.811615580844763,-1.0203748592473094,-0.8300270945366626,-1.0058325794213734,-0.18716425583812576,-2.9973777838905677,-1.6211820000732184,2.5473454240362314,-1.0865973846717627,-1.0126435691603226,-2.682165946604843,-1.5957872585611512,2.9860339021282494,-0.23685446048286216,-1.8726532522512047,-3.565990667899951,-0.2629334879647633,0.04223520556073826,0.4878692975008131,4.65796783237561,-1.7845705345074079,-1.5328042406857,-1.0739544812130184,-0.6676332825031918,1.053249029161949,-2.4680458298118757,-1.2527838550125867,2.6246427519886275,1.115992494862246,-0.8022803410683407,0.6621113229954081,0.2499525194804279,1.4580666513940101,2.198396638126777,3.039862674632389,1.7159391075316428,-3.4093551871560854,0.0028287662445635403,-3.0013272540355835,-1.1810437770428617,-0.3735996149592968,-1.4746203831365539,-3.086573974877735,-2.146402035029393,-0.6400861701234524,-2.542635066416827,-1.5799057409528736,-1.5999962038114253,-1.2484597243096578,-2.770158095202879,-1.8879767062441863,-3.0640248080092287,-2.4165385172961162,-1.9313011699376301,-0.31900582409561395,2.5390904549050584,2.3987184624047306,2.5719990409092035,0.7500621409838046,1.2275384759851375,0.39682152349516286,0.9742100999567928,-1.2152744580989905,-0.5792627808053918,1.072661838297525,0.502249049792737,1.4130805747133113,0.027127327895594133,1.906276799100473,0.20087726020532243,0.3787518667286026,-1.9107157055533048,-0.5147312686083394,-1.369875404847642,-1.2189712884226804,-0.9999035823648652,0.9310249279659601,2.1659301867419702,1.8112766828824223,0.20949074599760184,2.3136036913149347,1.2631028474888852,1.0311517738866087,0.30570521184552146,0.7753789998816732,-3.112264255786601,1.2474521355712807,-3.557741383686763,-0.7299233225720435,-0.167252024197593,-0.4846831162788649,-3.370961740598319,-1.116826591646772,-0.9221352660111066,-1.7681272334929579,-2.217973896265904,-1.9831735745100398,-1.3786710681924763,-0.007503030350872538,-0.09326426344332901

