denominator_group,1,2,3,4,
Stubby,0.967741935483871,0.016129032258064516,0.0,0.016129032258064516,0.0
Thin,0.9325842696629213,0.011235955056179775,0.0,0.02247191011235955,0.033707865168539325
Mushroom,0.972027972027972,0.0,0.013986013986013986,0.0,0.013986013986013986
