Spine File,ChordDistribution,OpenAngle,CVD,AverageDistance,LengthVolumeRatio,LengthAreaRatio,JunctionArea,Length,Area,Volume,ConvexHullVolume,ConvexHullRatio

example dataset\3_full_res (2)\spine_4.off,"[2.63716959 5.26208277 5.04555297 4.73301467 3.72594681 3.93226294
 3.75250235 3.76680149 3.58295543 3.65853659 3.31535727 2.8782122
 2.680067   2.59018671 2.19389631 2.07746047 1.99983658 1.87931528
 1.84663153 1.64440087 1.58107611 1.67708461 1.4421702  1.34820444
 1.25219594 1.23993954 1.18274298 1.15414471 0.98868325 0.94987131
 0.9192303  0.92127303 0.90493116 0.8109654  0.84569187 0.80483719
 0.79053806 0.72312783 0.67001675 0.73538424 0.65980308 0.56175185
 0.66797402 0.58422192 0.54336724 0.58217919 0.59443559 0.47391429
 0.5045553  0.47391429 0.49842709 0.44735874 0.44327328 0.44123054
 0.37177759 0.43510234 0.43101687 0.33296564 0.36360665 0.34522205
 0.38403399 0.33909384 0.32275197 0.32275197 0.36564939 0.28394003
 0.31049557 0.27576909 0.22061527 0.28802549 0.23082894 0.2165298
 0.20835887 0.17363239 0.18180333 0.17771786 0.15524778 0.14707685
 0.14911958 0.13890591 0.17363239 0.11030764 0.11235037 0.09396576
 0.08579483 0.09192303 0.07558116 0.06128202 0.07353842 0.04289741
 0.05923929 0.05106835 0.04698288 0.03881195 0.02451281 0.02042734
 0.01838461 0.01021367 0.01021367 0.0061282 ]",0.9836119999640343,0.4057714584253992,1.3337644701528484,2.172152004048577,0.2114659798760825,0.5086405609702185,2.1912282215475547,9.85344332047302,1.0087821742969287,1.5861345739592143,0.5723261318179731

example dataset\1010-3\spine_0.off,"[3.52600751e+00 5.67521527e+00 4.24007654e+00 4.05805895e+00
 3.47233566e+00 2.79093646e+00 2.68825987e+00 2.21921452e+00
 2.06986675e+00 2.06286608e+00 2.02319558e+00 2.03019625e+00
 2.24255011e+00 2.13053929e+00 2.28222061e+00 2.08853523e+00
 2.08153455e+00 2.05819896e+00 2.03486337e+00 1.91351831e+00
 1.83884442e+00 1.67082818e+00 1.76883765e+00 1.71283224e+00
 1.44213941e+00 1.40713602e+00 1.45847432e+00 1.39080111e+00
 1.28812452e+00 1.30912655e+00 1.23211910e+00 1.18778149e+00
 1.19711572e+00 1.19478216e+00 1.09677269e+00 1.02209880e+00
 9.61426271e-01 9.61426271e-01 8.72751033e-01 9.21755770e-01
 8.89085945e-01 9.24089329e-01 8.89085945e-01 7.79408676e-01
 7.70074441e-01 7.30403939e-01 7.74741558e-01 7.58406646e-01
 7.39738175e-01 5.95057522e-01 5.85723287e-01 5.53053462e-01
 5.20383637e-01 6.04391758e-01 5.22717196e-01 5.60054139e-01
 4.01372133e-01 4.38709075e-01 4.62044664e-01 4.78379577e-01
 4.62044664e-01 4.01372133e-01 3.80370102e-01 3.87370779e-01
 3.54700954e-01 3.61701631e-01 3.52367396e-01 3.80370102e-01
 3.89704338e-01 2.94028423e-01 2.59025039e-01 2.87027746e-01
 2.63692157e-01 2.42690127e-01 2.40356568e-01 2.56691480e-01
 1.86684713e-01 2.21688097e-01 1.96018948e-01 1.40013535e-01
 1.61015565e-01 1.19011504e-01 1.56348447e-01 1.37679976e-01
 1.07343710e-01 9.33423564e-02 1.00343033e-01 7.46738851e-02
 7.23403262e-02 8.16745619e-02 5.36718549e-02 4.43376193e-02
 3.96705015e-02 3.96705015e-02 1.86684713e-02 2.33355891e-02
 7.00067673e-03 7.00067673e-03 0.00000000e+00 4.66711782e-03]",1.1385759994423128,0.4752205150817841,1.1694834533708656,3.4288571268062675,0.3401042556908019,1.6320874443576907,2.2195436007954314,4.893980852809634,0.6473129438504123,0.8332019752027434,0.28717026767085363

example dataset\1009-11\spine_1.off,"[6.46377795e+00 7.90624882e+00 7.20292642e+00 5.10804390e+00
 4.38775125e+00 3.66180186e+00 3.23754573e+00 3.07915677e+00
 2.58324848e+00 2.46445676e+00 2.23441566e+00 2.15710676e+00
 2.01945921e+00 1.96100615e+00 1.99494664e+00 1.93837915e+00
 1.78564694e+00 2.07602670e+00 2.01191688e+00 1.93272240e+00
 1.72719388e+00 1.78187578e+00 1.64611381e+00 1.68193989e+00
 1.47452578e+00 1.40664479e+00 1.35007731e+00 1.28596749e+00
 1.20300185e+00 1.13700645e+00 1.07855338e+00 1.05215522e+00
 8.97537429e-01 8.01372704e-01 8.57940189e-01 8.63596938e-01
 6.65610740e-01 6.59953992e-01 7.01436814e-01 5.80759513e-01
 5.67560433e-01 5.75102764e-01 5.65674850e-01 4.92137120e-01
 4.31798469e-01 4.71395708e-01 4.16713806e-01 4.09171475e-01
 4.22370555e-01 3.90315647e-01 3.84658898e-01 3.22434665e-01
 2.97922088e-01 2.88494174e-01 3.05464419e-01 2.84723008e-01
 2.48896934e-01 2.50782517e-01 2.63981597e-01 2.09299695e-01
 2.13070860e-01 2.20613192e-01 2.22498774e-01 2.16842026e-01
 1.60274541e-01 1.71588038e-01 1.79130369e-01 1.62160124e-01
 1.45189878e-01 1.41418713e-01 1.35761964e-01 1.35761964e-01
 1.35761964e-01 9.42791417e-02 1.11249387e-01 8.29656447e-02
 1.03707056e-01 6.59953992e-02 6.78809820e-02 5.09107365e-02
 5.27963193e-02 5.46819022e-02 7.91944790e-02 5.46819022e-02
 5.09107365e-02 3.39404910e-02 3.58260738e-02 2.82837425e-02
 2.45125768e-02 2.45125768e-02 1.50846627e-02 1.50846627e-02
 5.65674850e-03 1.50846627e-02 1.31990798e-02 5.65674850e-03
 7.54233133e-03 3.77116567e-03 1.88558283e-03 1.88558283e-03]",0.7459563279432341,0.48419197228828803,0.6550940058421576,7.386804107546653,0.44907029322186903,0.20755114618522344,1.2748828217460444,2.6313870801653936,0.172589228465335,0.2512825910259985,0.4559575545959941

example dataset\39\spine_2.off,"[1.45736768e+00 4.61356042e+00 5.40260860e+00 4.63511911e+00
 4.62433977e+00 3.37177967e+00 2.71639539e+00 2.65603104e+00
 2.16449283e+00 1.94890590e+00 1.90794438e+00 1.92087959e+00
 1.72685135e+00 1.76565700e+00 1.59103158e+00 1.62121375e+00
 1.53929072e+00 1.53066724e+00 1.61690202e+00 1.54144659e+00
 1.48539399e+00 1.41856204e+00 1.47677051e+00 1.44227660e+00
 1.38622399e+00 1.32585965e+00 1.33663900e+00 1.19866336e+00
 1.23531314e+00 1.10811685e+00 1.16632532e+00 1.15770184e+00
 1.12536380e+00 1.12751967e+00 1.17494880e+00 1.15123424e+00
 1.14045489e+00 1.05637598e+00 1.04344077e+00 1.09518163e+00
 1.02834968e+00 1.00032338e+00 9.22712084e-01 1.03481729e+00
 8.53724264e-01 8.40789048e-01 8.36477309e-01 8.58036003e-01
 7.37307319e-01 7.80424706e-01 7.37307319e-01 6.42449068e-01
 6.31669721e-01 6.05799289e-01 6.72631239e-01 5.99331681e-01
 5.79928856e-01 6.03643419e-01 5.58370163e-01 4.95849951e-01
 5.54058424e-01 5.10941037e-01 5.34655600e-01 4.46264956e-01
 4.80758866e-01 4.24706263e-01 4.26862132e-01 4.98005821e-01
 4.67823650e-01 3.83744745e-01 4.00991700e-01 4.07459308e-01
 3.75121268e-01 3.51406705e-01 3.12601056e-01 3.12601056e-01
 3.01821710e-01 3.06133448e-01 2.97509971e-01 3.03977579e-01
 2.37145629e-01 2.15586935e-01 2.32833890e-01 1.63846071e-01
 1.59534332e-01 1.57378463e-01 1.35819769e-01 1.12105206e-01
 1.09949337e-01 8.62347742e-02 7.76112968e-02 6.46760806e-02
 4.31173871e-02 2.58704323e-02 1.72469548e-02 2.15586935e-02
 6.46760806e-03 2.15586935e-03 0.00000000e+00 8.62347742e-03]",0.9115741698776746,0.31751818294009354,1.0267661474567178,1.768512965330899,0.20240799874588578,0.6055241788135197,1.5453287277454169,7.029197459265163,0.8738011866688672,1.2547920277178641,0.4360154768173552

example dataset\3_full_res (4)\spine_8.off,"[4.25054235 5.08299279 4.14459412 3.14817618 2.92366682 2.69158973
 2.31320317 2.32833863 2.4746481  2.2551839  2.21986782 2.16437112
 2.10635185 2.05337773 2.00544877 2.02562938 1.93986176 1.89445538
 1.6497654  1.51102366 1.5286817  1.52111397 1.47823016 1.33696584
 1.23606276 1.38237223 1.21840472 1.29155946 1.2209273  1.19065637
 1.29155946 1.07966298 0.96866959 1.02416629 1.05695979 1.04686948
 1.08975329 0.96110186 0.92578578 0.90560517 0.80470208 0.81983755
 0.80217951 0.8248827  0.81983755 0.69118612 0.75172797 0.68361838
 0.69875385 0.69118612 0.7365925  0.66343777 0.66343777 0.66848292
 0.61803138 0.59280561 0.71641189 0.63064427 0.6054185  0.5499218
 0.55244438 0.53983149 0.50199284 0.50451541 0.53730891 0.52721861
 0.46415418 0.50199284 0.42379295 0.39352202 0.34559306 0.29009636
 0.39099945 0.37081883 0.40361233 0.32793502 0.31784471 0.29514152
 0.26234801 0.26487059 0.2421674  0.27243832 0.23964482 0.20685132
 0.21694163 0.17658039 0.15639978 0.16396751 0.12612885 0.15639978
 0.12865143 0.13621916 0.13621916 0.13369658 0.09081277 0.07315473
 0.07315473 0.05045154 0.02270319 0.01009031]",0.9606970252328766,0.46748408387588236,1.6678419708939276,2.902196966824936,0.32503833063805687,1.4189104075528898,3.0072433328373367,7.833054820468238,1.0361954640616013,1.2119242876605356,0.16959041965897592

example dataset\33\spine_1.off,"[4.19953490e+00 6.73475902e+00 6.04851580e+00 4.16533674e+00
 3.13483197e+00 2.50558570e+00 2.05644977e+00 1.69622908e+00
 1.59819434e+00 1.53207788e+00 1.54347727e+00 1.51383886e+00
 1.35424741e+00 1.21745474e+00 1.45684191e+00 1.30864986e+00
 1.34056815e+00 1.36108705e+00 1.56627605e+00 1.47964069e+00
 1.57767544e+00 1.62099311e+00 1.54119739e+00 1.57311568e+00
 1.67571018e+00 1.58451507e+00 1.64607177e+00 1.69850896e+00
 1.59363458e+00 1.69850896e+00 1.54347727e+00 1.51383886e+00
 1.49787971e+00 1.55943641e+00 1.36792668e+00 1.34968766e+00
 1.27445169e+00 1.23341389e+00 1.14905841e+00 1.04646391e+00
 1.03506452e+00 1.03278464e+00 9.14230997e-01 8.80032830e-01
 8.52674297e-01 8.64073686e-01 7.20441384e-01 7.88837718e-01
 7.43240162e-01 6.95362729e-01 6.61164562e-01 6.54324928e-01
 6.42925539e-01 6.54324928e-01 5.79088961e-01 5.67689572e-01
 5.72249327e-01 5.79088961e-01 5.03852993e-01 4.97013360e-01
 4.58255438e-01 4.81054215e-01 4.14937759e-01 4.35456660e-01
 3.96698737e-01 4.12657882e-01 3.46541425e-01 4.19497515e-01
 3.23742647e-01 3.55660937e-01 3.37421914e-01 3.03223747e-01
 2.94104236e-01 2.59906069e-01 2.43946924e-01 3.03223747e-01
 2.23428024e-01 1.82390224e-01 2.16588391e-01 1.52751813e-01
 1.75550590e-01 1.39072546e-01 1.52751813e-01 1.34512790e-01
 1.16273768e-01 1.11714012e-01 8.89152341e-02 9.34749897e-02
 6.38365784e-02 6.38365784e-02 5.92768228e-02 6.15567006e-02
 5.92768228e-02 4.55975560e-02 2.05189002e-02 2.73585336e-02
 4.55975560e-03 1.13993890e-02 9.11951119e-03 2.27987780e-03]",0.8760915324795971,0.45767864024929894,0.9479798300562606,2.123656765309741,0.2605797749783211,0.1504698976639633,1.6463163705292994,6.167427838897766,0.7752271447166651,0.9454896571258365,0.21962919328811695

example dataset\33\spine_4.off,"[2.67058796e+00 6.95396438e+00 5.05893793e+00 3.86594882e+00
 3.46986694e+00 2.64449873e+00 2.12982947e+00 2.14168821e+00
 1.93297441e+00 1.74086284e+00 1.58669924e+00 1.56535351e+00
 1.42067690e+00 1.42304864e+00 1.29734601e+00 1.22856533e+00
 1.29497427e+00 1.31869174e+00 1.22856533e+00 1.40644641e+00
 1.33292223e+00 1.57009700e+00 1.49657282e+00 1.66496691e+00
 1.65310818e+00 1.84759149e+00 1.68394090e+00 1.61516021e+00
 1.56535351e+00 1.60567322e+00 1.52740555e+00 1.55349477e+00
 1.43727913e+00 1.44439437e+00 1.46099661e+00 1.48234234e+00
 1.42542039e+00 1.23805232e+00 1.24516756e+00 1.22619358e+00
 1.29734601e+00 1.18350212e+00 1.20721960e+00 9.89018808e-01
 1.05542774e+00 1.02696677e+00 9.34468610e-01 8.75174916e-01
 7.47100538e-01 8.13509475e-01 8.13509475e-01 7.54215782e-01
 6.90178593e-01 7.49472286e-01 5.38386737e-01 6.92550340e-01
 5.12297512e-01 6.07167422e-01 4.86208287e-01 5.02810521e-01
 4.83836539e-01 4.76721296e-01 4.34029837e-01 3.48646918e-01
 3.96081873e-01 4.00825368e-01 3.22557693e-01 3.51018666e-01
 3.81851386e-01 3.22557693e-01 3.46275170e-01 2.58520504e-01
 2.70379242e-01 2.72750990e-01 2.37174774e-01 1.84996324e-01
 1.99226810e-01 1.68394090e-01 1.75509333e-01 1.63650594e-01
 1.09100396e-01 1.30446126e-01 1.09100396e-01 1.01985153e-01
 5.92936935e-02 6.16654413e-02 4.98067026e-02 4.26914593e-02
 4.03197116e-02 4.03197116e-02 3.08327206e-02 2.37174774e-02
 2.13457297e-02 1.89739819e-02 2.13457297e-02 2.37174774e-03
 4.74349548e-03 2.37174774e-03 0.00000000e+00 2.37174774e-03]",0.8182843760406864,0.43570820320263465,1.1048743758902226,1.6464897461732988,0.24107079074603197,0.09516828061159792,1.91986562527004,7.868739828407789,1.1660355794696624,1.4221250036433275,0.21962402235628176

example dataset\3_full_res (10-2)\spine_5.off,"[5.43564845e+00 7.38724728e+00 6.47119068e+00 5.45651102e+00
 5.03167318e+00 4.11751318e+00 3.65284679e+00 3.70784812e+00
 3.34370140e+00 3.11041991e+00 3.27732049e+00 3.07628115e+00
 2.76903236e+00 2.70265144e+00 2.22281227e+00 2.30246937e+00
 1.84349277e+00 1.76952547e+00 1.79987103e+00 1.58934871e+00
 1.59124531e+00 1.39589576e+00 1.37692979e+00 1.31434207e+00
 1.25175435e+00 1.08675037e+00 1.10761294e+00 1.00898987e+00
 9.93817092e-01 9.00883814e-01 7.49156014e-01 7.92777757e-01
 8.13640329e-01 7.75708379e-01 6.75188711e-01 5.91738421e-01
 5.59496264e-01 5.67082654e-01 5.23460911e-01 4.74149376e-01
 4.72252779e-01 4.74149376e-01 4.62769791e-01 4.47597011e-01
 3.64146721e-01 4.02078671e-01 3.94492281e-01 3.43284148e-01
 3.41387551e-01 3.39490953e-01 3.05352198e-01 2.73110041e-01
 2.59833858e-01 2.31384895e-01 2.92076016e-01 2.67420248e-01
 2.33281493e-01 2.10522323e-01 2.46557676e-01 2.16212115e-01
 2.06729128e-01 1.70693775e-01 1.78280165e-01 1.68797178e-01
 2.35178091e-01 1.55520995e-01 1.70693775e-01 1.82073360e-01
 1.63107385e-01 1.70693775e-01 2.10522323e-01 1.49831203e-01
 1.53624398e-01 1.13795850e-01 1.19485643e-01 1.11899253e-01
 1.21382240e-01 7.77604977e-02 8.15536927e-02 1.19485643e-01
 1.02416265e-01 5.68979251e-02 8.72434852e-02 3.98285476e-02
 7.96570952e-02 4.17251451e-02 5.68979251e-02 6.06911201e-02
 3.60353526e-02 4.17251451e-02 2.27591700e-02 2.08625725e-02
 3.03455601e-02 1.51727800e-02 1.51727800e-02 1.51727800e-02
 7.58639002e-03 9.48298752e-03 0.00000000e+00 3.79319501e-03]",0.8292372853055819,0.6218256291641058,0.7389640901198281,14.351660527543606,0.6469535483362435,0.28399837880720097,1.8744682811756128,2.613378544151398,0.1306098536526938,0.24458075070258647,0.8726056561777797

