denominator_group,1,2,3,
Stubby,0.9838709677419355,0.016129032258064516,0.0,0.0
Thin,0.9662921348314607,0.011235955056179775,0.02247191011235955,0.0
Mushroom,0.993006993006993,0.0,0.0,0.006993006993006993
