denominator_group,Stubby,Thin,Mushroom,Unclassified
1,0.21107266435986158,0.2975778546712803,0.4913494809688581,0
2,0.5,0.5,0.0,0
3,0.0,1.0,0.0,0
,0.0,0.0,1.0,0
